manufacturer,model_name,screen_size_inches,screen,cpu,ram_GB,storage,os,os_version,weight,price_euros,gpu_manufacturer,cpu_manufacturer,screen_width_px,screen_high_px,cpu_speed_ghz
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,128GB SSD,macOS,X,1.37kg,"1339,69",Intel,Intel,2560,1600,2.3
Apple,Macbook Air,13.3,1440x900,Intel Core i5 1.8GHz,8,128GB Flash Storage,macOS,X,1.34kg,"898,94",Intel,Intel,1440,900,1.8
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB SSD,No OS,Version Unknown,1.86kg,"575,00",Intel,Intel,1920,1080,2.5
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.7GHz,16,512GB SSD,macOS,X,1.83kg,"2537,45",AMD,Intel,2880,1800,2.7
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 3.1GHz,8,256GB SSD,macOS,X,1.37kg,"1803,60",Intel,Intel,2560,1600,3.1
Acer,Aspire 3,15.6,1366x768,AMD A9-Series 9420 3GHz,4,500GB HDD,Windows,10,2.1kg,"400,00",AMD,AMD,1366,768,3.0
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.2GHz,16,256GB Flash Storage,macOS,X,2.04kg,"2139,97",Intel,Intel,2880,1800,2.2
Apple,Macbook Air,13.3,1440x900,Intel Core i5 1.8GHz,8,256GB Flash Storage,macOS,X,1.34kg,"1158,70",Intel,Intel,1440,900,1.8
Asus,ZenBook UX430UN,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB SSD,Windows,10,1.3kg,"1495,00",Nvidia,Intel,1920,1080,1.8
Acer,Swift 3,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB SSD,Windows,10,1.6kg,"770,00",Intel,Intel,1920,1080,1.6
HP,250 G6,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB HDD,No OS,Version Unknown,1.86kg,"393,90",Intel,Intel,1366,768,2.5
HP,250 G6,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB HDD,No OS,Version Unknown,1.86kg,"344,99",Intel,Intel,1920,1080,2.0
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB SSD,macOS,X,1.83kg,"2439,97",AMD,Intel,2880,1800,2.8
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB SSD,Windows,10,2.2kg,"498,90",AMD,Intel,1920,1080,2.0
Apple,"MacBook 12""",12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB SSD,macOS,X,0.92kg,"1262,40",Intel,Intel,2304,1440,1.2
Apple,MacBook Pro,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB SSD,macOS,X,1.37kg,"1518,55",Intel,Intel,2560,1600,2.3
Dell,Inspiron 3567,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB SSD,Windows,10,2.2kg,"745,00",AMD,Intel,1920,1080,2.7
Apple,MacBook Pro,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB SSD,macOS,X,1.83kg,"2858,00",AMD,Intel,2880,1800,2.9
Lenovo,IdeaPad 320-15IKB,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB HDD,No OS,Version Unknown,2.2kg,"499,00",Nvidia,Intel,1920,1080,2.4
